Year,Assembly,AAP,Position,Votes,BJP,Position,Votes,Valid Votes,Total Electors,Turnout Percentage,Margin(M1),Margin(M1) Percentage,Vote Split Amongst Other Candidates(M2),Margin(M1-M2),Margin(M1-M2)  Percentage
2013,MADIPUR,GIRISH SONI,1,"36,393",KAILASH SANKLA,2,"35,290","101,168","148,659",68.05,"1,103",1%,"29,479","-28,376",-28%
2013,RAJOURI GARDEN,PRIT PAL SINGH,3,"17,022",NA,NA,NA,"101,925","147,899",68.92,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2013,HARI NAGAR,JAGDEEP SINGH,1,"38,912",NA,NA,NA,"100,260","150,396",66.66,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
2013,TILAK NAGAR,JARNAIL SINGH,1,"34,493",RAJIV BABBAR,2,"32,405","87,830","132,754",66.16,"2,088",2%,"20,932","-18,844",-21%
2013,JANAKPURI,RAJESH RISHI,2,"40,242",PROF. JAGDISH MUKHI,1,"42,886","107,552","155,873",69,"2,644",2%,"24,424","-21,780",-20%
2013,VIKASPURI,MAHINDER YADAV,1,"62,032",KRISHAN GAHLOT,2,"61,627","180,713","285,994",63.19,405,0%,"57,061","-56,656",-31%
2013,UTTAM NAGAR,DESH RAJ RAGHAV,3,"33,619",PAWAN SHARMA,1,"48,377","132,983","191,460",69.46,"14,758",11%,"50,992","-36,234",-27%
2013,DWARKA,RAVI KUMAR SURYAN,2,"37,537",PARDUYMN RAJPUT,1,"42,734","114,564","174,884",65.51,"5,197",5%,"34,296","-29,099",-25%
2013,MATIALA,GULAB SINGH,2,"66,051",RAJESH GAHLOT,1,"70,053","193,991","302,877",64.05,"4,002",2%,"57,889","-53,887",-28%
2013,NAJAFGARH,MUKESH KUMAR DAGAR,3,"22,798",AJEET SINGH KHARKHARI,1,"54,358","143,822","212,116",67.8,"31,560",22%,"66,659","-35,099",-24%
2013,BIJWASAN,COLONEL DEVINDER SEHRAWAT,2,"33,574",SAT PRAKASH RANA,1,"35,988","103,875","164,573",63.12,"2,414",2%,"34,316","-31,902",-31%
2013,PALAM,BHAVNA GAUR,2,"34,461",DHARAM DEV SOLANKI,1,"42,833","128,626","204,035",63.04,"8,372",7%,"51,330","-42,958",-33%
2013,DELHI CANTT,SURENDER SINGH,1,"26,124",KARAN SINGH TANWAR,2,"25,769","65,861","109,420",60.19,355,1%,"13,967","-13,612",-21%
2013,RAJINDER NAGAR,VIJENDER GARG VIJAY,2,"33,917",R. P. SINGH,1,"35,713","99,705","164,868",60.48,"1,796",2%,"30,082","-28,286",-28%
2013,NEW DELHI,ARVIND KEJRIWAL,1,"44,269",VIJENDER GUPTA,3,"17,952","82,802","124,107",66.72,"26,317",32%,"20,583","5,734",7%
2013,JANGPURA,MANINDER SINGH DHIR,1,"29,701",PANKAJ JAIN,3,"18,978","80,375","129,053",62.28,"10,723",13%,"31,695","-20,972",-26%
2013,KASTURBA NAGAR,MADAN LAL,1,"33,609",SHIKHA ROY,2,"28,935","88,385","134,828",65.55,"4,674",5%,"25,836","-21,162",-24%
2013,MALVIYA NAGAR,SHRI SOMNATH BHARTI,1,"32,258",MS. ARTI MEHRA,2,"24,486","81,814","124,575",65.67,"7,772",10%,"25,064","-17,292",-21%
2013,R K PURAM,SHAZIA ILMI MALIK,2,"27,691",ANIL KUMAR SHARMA,1,"28,017","84,468","133,302",63.37,326,0%,"28,765","-28,439",-34%
2013,MEHRAULI,NARINDER SINGH SEJWAL,2,"32,917",PARVESH SAHIB SINGH,1,"37,481","96,794","156,039",62.03,"4,564",5%,"26,393","-21,829",-23%
2013,CHHATARPUR,RISHI PAL,3,"22,285",BRAHM SINGH TANWAR,1,"49,975","110,876","167,686",66.12,"27,690",25%,"38,614","-10,924",-10%
2013,DEOLI,PRAKASH @ PRAKASH JARWAL,1,"51,646",GAGAN RANA @ GAGAN SHRI LAL PRADHAN,2,"34,538","118,320","184,309",64.2,"17,108",14%,"32,142","-15,034",-13%
2013,AMBEDKAR NAGAR,ASHOK KUMAR,1,"36,239",KHUSHIRAM CHUNAR,2,"24,569","85,429","124,523",68.6,"11,670",14%,"24,615","-12,945",-15%
2013,SANGAM VIHAR,DINESH MOHANIYA,1,"24,851",SHIV CHARAN LAL GUPTA,2,"24,074","89,167","137,295",64.95,777,1%,"40,248","-39,471",-44%
2013,GREATER KAILASH,SAURABH BHARADWAJ,1,"43,097",AJAY KUMAR MALHOTRA,2,"30,005","95,220","144,016",66.12,"13,092",14%,"22,121","-9,029",-9%
2013,KALKAJI,DHARAMBIR SINGH,2,"28,639",HARMEET SINGH,1,"30,683","90,861","144,009",63.09,"2,044",2%,"31,533","-29,489",-32%
2013,TUGHLAKABAD,MANOJ KUMAR RAY,3,"12,465",RAMESH BIDHURI,1,"34,009","87,240","131,858",66.16,"21,544",25%,"40,763","-19,219",-22%
2013,BADARPUR,NARAYAN DUTT SHARMA,4,"20,833",RAM VIR SINGH BIDHURI,1,"45,344","132,460","206,380",64.18,"24,511",19%,"66,278","-41,767",-32%
2013,OKHLA,IRFANULLAH KHAN,2,"23,459",DHIR SINGH BIDHURI,3,"23,358","137,590","235,966",58.31,101,0%,"90,775","-90,674",-66%
2013,TRILOKPURI,RAJU,1,"44,082",SUNIL KUMAR,2,"26,397","113,245","163,933",69.08,"17,685",16%,"42,766","-25,081",-22%
2013,KONDLI,MANOJ KUMAR,1,"36,863",DUSHYANT KUMAR GAUTAM,2,"29,373","107,894","159,331",67.72,"7,490",7%,"41,663","-34,173",-32%
2013,PATPARGANJ,MANISH SISODIA,1,"50,211",NAKUL BHARDWAJ,2,"38,735","120,906","189,183",63.91,"11,476",9%,"31,961","-20,485",-17%
2013,LAXMI NAGAR,VINOD KUMAR BINNY,1,"43,052",ABHAY KUMAR VERMA,3,"33,849","118,240","182,858",64.66,"9,203",8%,"41,335","-32,132",-27%
2013,VISHWAS NAGAR,DR. ATUL GUPTA,3,"30,388",OM PRAKASH SHARMA,1,"44,801","117,908","175,883",67.04,"14,413",12%,"42,723","-28,310",-24%
2013,KRISHNA NAGAR,ISHRAT ALI ANSARI,3,"17,498",DR. HARSH VARDHAN,1,"69,222","118,664","175,153",67.75,"51,724",44%,"31,946","19,778",17%
2013,GANDHI NAGAR,ANIL KUMAR BAJPAI,3,"16,546",RAMESH CHAND JAIN,2,"31,936","100,877","153,167",65.86,"15,390",15%,"52,394","-37,004",-37%
2013,SHAHDARA,BALBIR SINGH,3,"23,512",JITENDER SINGH SHUNTY,1,"45,364","105,607","156,148",67.63,"21,852",21%,"36,727","-14,875",-14%
2013,SEEMA PURI,DHARMENDER SINGH,1,"43,199",RAM PAL SINGH,3,"24,356","114,405","157,639",72.57,"18,843",16%,"46,844","-28,001",-24%
2013,ROHTAS NAGAR,MUKESH HOODA,2,"34,973",JITENDER KUMAR,1,"49,916","120,756","175,409",68.84,"14,943",12%,"35,863","-20,920",-17%
2013,SEELAMPUR,MASOOD ALI KHAN,4,"12,969",KAUSHAL KUMAR MISHRA,2,"24,724","99,845","145,781",68.49,"11,755",12%,"62,152","-50,397",-50%
2013,GHONDA,DATARAM,3,"23,621",SAHAB SINGH CHAUHAN,1,"47,531","121,098","184,840",65.52,"23,910",20%,"49,955","-26,045",-22%
2013,BABARPUR,GOPAL RAI,3,"25,723",NARESH GAUR,1,"34,180","114,976","174,496",65.89,"8,457",7%,"55,072","-46,615",-41%
2013,GOKALPUR,DEVI DAYAL,3,"29,633",RANJEET SINGH,1,"34,888","128,054","178,740",71.64,"5,255",4%,"63,528","-58,273",-46%
2013,MUSTAFABAD,KAPIL DHAMA,3,"19,759",JAGDISH PRADHAN,2,"54,354","147,082","204,982",71.75,"34,595",24%,"72,962","-38,367",-26%
2013,KARAWAL NAGAR,KAPIL MISHRA,2,"46,179",MOHAN SINGH BISHT,1,"49,262","142,209","207,924",68.39,"3,083",2%,"46,758","-43,675",-31%
